ID,AbstractClassWithoutAbstractMethod,AccessorClassGeneration,AccessorMethodGeneration,ArrayIsStoredDirectly,AvoidMessageDigestField,AvoidPrintStackTrace,AvoidReassigningCatchVariables,AvoidReassigningLoopVariables,AvoidReassigningParameters,AvoidStringBufferField,AvoidUsingHardCodedIP,CheckResultSet,ConstantsInInterface,DefaultLabelNotLastInSwitch,DoubleBraceInitialization,ForLoopCanBeForeach,GuardLogStatement,LooseCoupling,MethodReturnsInternalArray,MissingOverride,NonExhaustiveSwitch,OneDeclarationPerLine,PreserveStackTrace,ReplaceEnumerationWithIterator,ReplaceHashtableWithMap,ReplaceVectorWithList,SystemPrintln,UnitTestShouldUseAfterAnnotation,UnitTestShouldUseBeforeAnnotation,UnitTestShouldUseTestAnnotation,UnusedAssignment,UnusedFormalParameter,UnusedLocalVariable,UnusedPrivateField,UnusedPrivateMethod,UseCollectionIsEmpty,UseStandardCharsets,UseTryWithResources,UseVarargs,WhileLoopWithLiteralBoolean,AtLeastOneConstructor,AvoidProtectedMethodInFinalClassNotExtending,CallSuperInConstructor,CommentDefaultAccessModifier,EmptyMethodInAbstractClassShouldBeAbstract,ExtendsObject,FieldDeclarationsShouldBeAtStartOfClass,IdenticalCatchBranches,NoPackage,OnlyOneReturn,PackageCase,ShortClassName,ShortMethodName,TypeParameterNamingConventions,UnnecessaryAnnotationValueElement,UnnecessaryCast,UnnecessaryConstructor,UnnecessaryFullyQualifiedName,UnnecessaryImport,UnnecessaryModifier,UnnecessaryReturn,UnnecessarySemicolon,UseShortArrayInitializer,UseUnderscoresInNumericLiterals,VariableCanBeInlined,AbstractClassWithoutAnyMethod,AvoidRethrowingException,AvoidThrowingNewInstanceOfSameException,AvoidThrowingNullPointerException,AvoidThrowingRawExceptionTypes,ClassWithOnlyPrivateConstructorsShouldBeFinal,CollapsibleIfStatements,CouplingBetweenObjects,DataClass,DoNotExtendJavaLangError,ExcessiveImports,ExcessiveParameterList,FinalFieldCouldBeStatic,LogicInversion,SignatureDeclareThrowsException,SimplifiedTernary,SimplifyBooleanExpressions,SimplifyBooleanReturns,SimplifyConditional,SingularField,UseObjectForClearerAPI,UseUtilityClass,UselessOverridingMethod,DanglingJavadoc,UncommentedEmptyMethodBody,AssignmentInOperand,AssignmentToNonFinalStatic,AvoidAccessibilityAlteration,AvoidAssertAsIdentifier,AvoidCallingFinalize,AvoidCatchingThrowable,AvoidDecimalLiteralsInBigDecimalConstructor,AvoidEnumAsIdentifier,AvoidFieldNameMatchingMethodName,AvoidFieldNameMatchingTypeName,AvoidInstanceofChecksInCatchClause,AvoidMultipleUnaryOperators,AvoidUsingOctalValues,AvoidCatchingNPE,BrokenNullCheck,CallSuperFirst,CallSuperLast,CheckSkipResult,ClassCastExceptionWithToArray,CloneMethodMustBePublic,CloneMethodMustImplementCloneable,CloneMethodReturnTypeMustMatchClassName,CloseResource,CompareObjectsWithEquals,ConstructorCallsOverridableMethod,DetachedTestCase,DoNotCallGarbageCollectionExplicitly,DoNotHardCodeSDCard,DoNotThrowExceptionInFinally,DontImportSun,DontUseFloatTypeForLoopIndices,EmptyFinalizer,FinalizeDoesNotCallSuperFinalize,FinalizeOnlyCallsSuperFinalize,FinalizeOverloaded,FinalizeShouldBeProtected,IdempotentOperations,ImplicitSwitchFallThrough,InstantiationToGetClass,InvalidLogMessageFormat,JumbledIncrementer,JUnitSpelling,JUnitStaticSuite,MethodWithSameNameAsEnclosingClass,MisplacedNullCheck,MissingSerialVersionUID,MoreThanOneLogger,NonCaseLabelInSwitch,NonStaticInitializer,OverrideBothEqualsAndHashCodeOnComparable,OverrideBothEqualsAndHashcode,ProperCloneImplementation,ProperLogger,ReturnFromFinallyBlock,SimpleDateFormatNeedsLocale,SingleMethodSingleton,SingletonClassReturningNewInstance,StaticEJBFieldShouldBeFinal,StringBufferInstantiationWithChar,SuspiciousEqualsMethodName,SuspiciousHashcodeMethodName,SuspiciousOctalEscape,UnconditionalIfStatement,UnnecessaryBooleanAssertion,UnnecessaryCaseChange,UnnecessaryConversionTemporary,UnusedNullCheckInEquals,UseCorrectExceptionLogging,UseEqualsToCompareStrings,UselessOperationOnImmutable,UselessPureMethodCall,AvoidSynchronizedAtMethodLevel,AvoidSynchronizedStatement,AvoidThreadGroup,AvoidUsingVolatile,DoNotUseThreads,DontCallThreadRun,DoubleCheckedLocking,NonThreadSafeSingleton,UnsynchronizedStaticFormatter,UseConcurrentHashMap,UseNotifyAllInsteadOfNotify,AddEmptyString,AvoidArrayLoops,AvoidCalendarDateCreation,AvoidFileStream,BigIntegerInstantiation,ConsecutiveAppendsShouldReuse,InefficientStringBuffering,OptimizableToArrayCall,RedundantFieldInitializer,StringInstantiation,StringToString,TooFewBranchesForSwitch,UseArrayListInsteadOfVector,UseArraysAsList,UseIndexOfChar,UseIOStreamsWithApacheCommonsFileItem,UseStringBufferLength,UselessStringValueOf,MethodArgumentCouldBeFinal,CommentRequired,LocalVariableCouldBeFinal,LawOfDemeter,ControlStatementBraces,ShortVariable,LocalVariableNamingConventions,FieldNamingConventions,NullAssignment,UseDiamondOperator,CyclomaticComplexity,AvoidDuplicateLiterals,AvoidInstantiatingObjectsInLoops,CognitiveComplexity,TooManyMethods,AvoidCatchingGenericException,NPathComplexity,AvoidLiteralsInIfCondition,GodClass,InsufficientStringBufferDeclaration,ClassNamingConventions,MethodNamingConventions,FormalParameterNamingConventions,FinalParameterInAbstractMethod,AvoidProtectedFieldInFinalClass,AvoidDollarSigns,BooleanGetMethodName,ConfusingTernary,EmptyControlStatement,ModifierOrder,PrematureDeclaration,LongVariable,ExcessivePublicCount,ImmutableField,LoosePackageCoupling,MutableStaticState,TooManyFields,SwitchDensity,AvoidDeeplyNestedIfStmts,ExceptionAsFlowControl,CommentContent,UncommentedEmptyConstructor,CommentSize,EqualsNull,EmptyCatchBlock,AvoidCatchingNPE,AvoidBranchingStatementAsLastInLoop,UseStringBufferForStringAppends,ConsecutiveLiteralAppends,InefficientEmptyStringCheck,HardCodedCryptoKey,InsecureCryptoIv
3698323.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,5,,,,,,,,,
3698602.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,
3698665.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,,,,,,,,,
3698860.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,19,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,
3699227.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3699521.java,,,,,,,,,,,,,,,,2,,,,156,,,24,,,,,,,,,,12,1,,,,,,,,,24,,,,206,,,247,,4,,,,,,1460,,116,,11,,,12,,,,58,,,,1,,,,,,2,,,,,,,,,,,1,,,,,,,,,12,,,,,,,,,,,,12,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,24,,,,,,,,,,595,534,301,92,59,133,14,136,33,2,25,3,1,3,24,,6,109,23,,,,,,,,1,19,12,,,141,2,,,,,,,,,,66,,,,,,,,,
3700134.java,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,10,2,2,,5,,2,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,
3700666.java,,,,,,,,,,,,,,8,,18,,,,272,,,16,,,,,,,,,8,3,,,,,,,,,,24,,,,226,,,166,,1,,,,,,56,,55,,,,,8,,,,61,,,,1,,,,,,18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,520,219,109,32,98,23,147,28,18,31,1,9,11,17,,11,135,16,,,,,,,,4,14,1,,,85,7,,,8,1,,,,,,94,,,,,,,,,
3701394.java,,,,1,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,11,,,,,,34,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,18,16,67,,85,11,1,2,,,3,3,,2,1,,2,2,,,,,,,,,,5,2,,22,,1,,,,,,,,,1,9,,,,,,,,,
3701417.java,,,,1,,,,,1,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,11,,,,,,34,,,,5,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,18,16,67,,85,11,1,2,,,3,3,,2,1,,2,2,,,,,,,,,,5,2,,22,,1,,,,,,,,,1,9,,,,,,,,,
3701614.java,,,,,,,,,,,,,,8,,18,,,,272,,,16,,,,,,,,,8,3,,,,,,,,,,24,,,,226,,,166,,1,,,,,,56,,55,,,,,8,,,,61,,,,1,,,,,,18,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,520,219,109,32,98,23,147,28,18,31,1,9,11,17,,11,135,16,,,,,,,,4,14,1,,,85,7,,,8,1,,,,,,94,,,,,,,,,
